merchant_id,merchant_name,sector,tier,region
172,Fireball,Sporting Goods,Foundation,UK & Europe
173,Express Scripts Incorporated,Pharmaceuticals,Foundation,North America
174,Monsanto Company,Fashion,Foundation,UK & Europe
175,Zoo York,Sporting Goods,Foundation,Asia-Pacific
176,Under Armour,Grocery,Foundation,UK & Europe
177,Oreck Corporation,Fashion,Foundation,North America
178,Dow Chemical Company,Electronics,Foundation,Asia-Pacific
179,Amazon.com,Electronics,Foundation,Asia-Pacific
180,Castle Realty,Sporting Goods,Foundation,UK & Europe
181,Deere & Company,Fashion,Foundation,UK & Europe
182,Miller Brewing,Sporting Goods,Foundation,Asia-Pacific
183,Rivera Property Maintenance,Home & Garden,Foundation,North America
184,Nabisco,Pharmaceuticals,Foundation,UK & Europe
185,CNET,Home & Garden,Foundation,UK & Europe
186,Fiserv,Electronics,Foundation,North America
187,Boeing,Fashion,Foundation,North America
188,Vizio,Home & Garden,Foundation,Asia-Pacific
189,Acuity Brands,Pharmaceuticals,Foundation,Asia-Pacific
190,Comodo,Fashion,Foundation,UK & Europe
191,Xray Eye & Vision Clinics,Home & Garden,Foundation,UK & Europe
192,Syntel,Grocery,Foundation,UK & Europe
193,Kenworth,Sporting Goods,Foundation,North America
194,Aspyr Media,Grocery,Foundation,UK & Europe
195,QCR Holdings,Grocery,Foundation,Asia-Pacific
196,Strong Life,Home & Garden,Foundation,Asia-Pacific
197,Energy East,Grocery,Foundation,North America
198,Magna Solution,Electronics,Foundation,UK & Europe
199,Avery Dennison,Sporting Goods,Foundation,North America
200,Affinity Investment Group,Fashion,Foundation,Asia-Pacific
201,DTE Energy,Sporting Goods,Foundation,North America
202,Columbia Pictures,Grocery,Foundation,UK & Europe
203,Frontier Airlines,Home & Garden,Foundation,UK & Europe
204,BlueLinx Holdings,Pharmaceuticals,Foundation,North America
205,Aflac,Pharmaceuticals,Foundation,Asia-Pacific
206,Office Depot,Grocery,Foundation,UK & Europe
207,Audiovox,Grocery,Foundation,UK & Europe
208,The Spotted Cougar,Sporting Goods,Foundation,UK & Europe
209,Dereon,Pharmaceuticals,Foundation,North America
210,Total Network Development,Fashion,Foundation,North America
211,NBC Universal,Electronics,Foundation,UK & Europe
212,"Sun Microsystems, Inc.",Grocery,Foundation,Asia-Pacific
